city,year,month,date,price
济南,2022,8,2022-08,14474
济南,2022,9,2022-09,14333
济南,2022,10,2022-10,14316
济南,2022,11,2022-11,14076
济南,2022,12,2022-12,14041
济南,2023,1,2023-01,13948
济南,2023,2,2023-02,13856
济南,2023,3,2023-03,13950
济南,2023,4,2023-04,13997
济南,2023,5,2023-05,14122
济南,2023,6,2023-06,14239
济南,2023,7,2023-07,13937
济南,2023,8,2023-08,14015
济南,2023,9,2023-09,14277
济南,2023,10,2023-10,14408
济南,2023,11,2023-11,14288
济南,2023,12,2023-12,14313
济南,2024,1,2024-01,14271
济南,2024,2,2024-02,14183
济南,2024,3,2024-03,14130
济南,2024,4,2024-04,14120
济南,2024,5,2024-05,14087
济南,2024,6,2024-06,14128
济南,2024,7,2024-07,14106
济南,2024,8,2024-08,14037
济南,2024,9,2024-09,14074
济南,2024,10,2024-10,13977
济南,2024,11,2024-11,13977
济南,2024,12,2024-12,13959
济南,2025,1,2025-01,13859
济南,2025,2,2025-02,14193
济南,2025,3,2025-03,14180
济南,2025,4,2025-04,14180
济南,2025,5,2025-05,14098
济南,2025,6,2025-06,14060
济南,2025,7,2025-07,13986
济南,2025,8,2025-08,13940
济南,2025,9,2025-09,14113
济南,2025,10,2025-10,14350
济南,2025,11,2025-11,14350
济南,2025,12,2025-12,14350
贵阳,2017,1,2017-01,5321
贵阳,2017,2,2017-02,5321
贵阳,2017,3,2017-03,5324
贵阳,2017,4,2017-04,5324
贵阳,2017,5,2017-05,5339
贵阳,2017,6,2017-06,5340
贵阳,2017,7,2017-07,5356
贵阳,2017,8,2017-08,5711
贵阳,2017,9,2017-09,5871
贵阳,2017,10,2017-10,5935
贵阳,2017,11,2017-11,6233
贵阳,2017,12,2017-12,6295
贵阳,2018,1,2018-01,6834
贵阳,2018,2,2018-02,6841
贵阳,2018,3,2018-03,6826
贵阳,2018,4,2018-04,6766
贵阳,2018,5,2018-05,8795
贵阳,2018,6,2018-06,9212
贵阳,2018,7,2018-07,9787
贵阳,2018,8,2018-08,10207
贵阳,2018,9,2018-09,11301
贵阳,2018,10,2018-10,11099
贵阳,2018,11,2018-11,11864
贵阳,2018,12,2018-12,11838
贵阳,2019,1,2019-01,11589
贵阳,2019,2,2019-02,11264
贵阳,2019,3,2019-03,11129
贵阳,2019,4,2019-04,11004
贵阳,2019,5,2019-05,11018
贵阳,2019,6,2019-06,10942
贵阳,2019,7,2019-07,10801
贵阳,2019,8,2019-08,10854
贵阳,2019,9,2019-09,11038
贵阳,2019,10,2019-10,10840
贵阳,2019,11,2019-11,10342
贵阳,2019,12,2019-12,10351
贵阳,2020,1,2020-01,10353
贵阳,2020,2,2020-02,10228
贵阳,2020,3,2020-03,10223
贵阳,2020,4,2020-04,10065
贵阳,2020,5,2020-05,9917
贵阳,2020,6,2020-06,9888
贵阳,2020,7,2020-07,9639
贵阳,2020,8,2020-08,9607
贵阳,2020,9,2020-09,9657
贵阳,2020,10,2020-10,9595
贵阳,2020,11,2020-11,9641
贵阳,2020,12,2020-12,9426
贵阳,2021,1,2021-01,9276
贵阳,2021,2,2021-02,9359
贵阳,2021,3,2021-03,9134
贵阳,2021,4,2021-04,9050
贵阳,2021,5,2021-05,9188
贵阳,2021,6,2021-06,9392
贵阳,2021,7,2021-07,9512
贵阳,2021,8,2021-08,9455
贵阳,2021,9,2021-09,9635
贵阳,2021,10,2021-10,9525
贵阳,2021,11,2021-11,9571
贵阳,2021,12,2021-12,9545
贵阳,2022,1,2022-01,9557
贵阳,2022,2,2022-02,9511
贵阳,2022,3,2022-03,9458
贵阳,2022,4,2022-04,9432
贵阳,2022,5,2022-05,9413
贵阳,2022,6,2022-06,9340
贵阳,2022,7,2022-07,9316
