crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
朝阳,三环边地铁10号线17号线机场快轨国展香河园中里3室田字格,376,万,54683元/㎡,3室1厅1卫,68.76,南北,低层(共6层),1982,香河园中里,朝阳,三元桥,朝阳 三元桥 香河园路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4282668729277445x.shtml?auction=220&hpType=60&entry=102&position=22&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_22&from=from_esf_List_screen&index=24,2025-11-28 13:34:39
朝阳,望京南湖中园电梯三居，南向采光好，满五  ，空置随时看,450,万,51850元/㎡,3室1厅2卫,86.79,西南,高层(共20层),2002,南湖中园(二区),朝阳,望京,朝阳 望京 湖光北街,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4305172483612679x.shtml?auction=220&hpType=60&entry=102&position=23&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_23&from=from_esf_List_screen&index=25,2025-11-28 13:34:39
朝阳,百环家园西南两居室 业主诚意出售,439,万,48279元/㎡,2室1厅1卫,90.93,西南,高层(共26层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁,https://bj.58.com/ershoufang/3461254806609933x.shtml?auction=220&hpType=60&entry=102&position=24&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_24&from=from_esf_List_screen&index=26,2025-11-28 13:34:39
朝阳,后现代城经典南向3室两卫双阳台户型，正对  ，无遮挡，采光好,648,万,48337元/㎡,3室2厅2卫,134.06,西南,低层(共27层),2007,后现代城(C区),朝阳,百子湾,朝阳 百子湾 百子湾南一路16号,西南 配套成熟 价格优惠 房东急售,https://bj.58.com/ershoufang/3787256354119692x.shtml?auction=220&hpType=60&entry=102&position=25&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_25&from=from_esf_List_screen&index=27,2025-11-28 13:34:39
朝阳,首城国际A区70平西向一居,528,万,74577元/㎡,1室1厅1卫,70.8,西,高层(共28层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,西 近地铁 采光较好,https://bj.58.com/ershoufang/4293878487440384x.shtml?auction=220&hpType=60&entry=102&position=26&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_26&from=from_esf_List_screen&index=28,2025-11-28 13:34:39
朝阳,甜水园秀水园小区南北通透 中间层 无遮挡,312,万,51165元/㎡,2室1厅2卫,60.98,南北,中层(共12层),1995,秀水园小区,朝阳,团结湖,朝阳 团结湖 甜水园街,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4240346894183436x.shtml?auction=220&hpType=60&entry=102&position=27&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_27&from=from_esf_List_screen&index=29,2025-11-28 13:34:39
朝阳,望京西 地铁两居室 总价低 有钥匙 装修好可拎包入住,588,万,53012元/㎡,2室2厅1卫,110.92,西南,低层(共25层),2003,银领国际,朝阳,望京,朝阳 望京 望京西路,西南 近地铁 多人关注,https://bj.58.com/ershoufang/3048196679558155x.shtml?auction=220&hpType=60&entry=102&position=28&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_28&from=from_esf_List_screen&index=30,2025-11-28 13:34:39
朝阳,双井首城国际A区1室1厅 全南一居室 满五年一套,338,万,61724元/㎡,1室1厅1卫,54.76,南,中层(共22层),2010,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4283797256969219x.shtml?auction=220&hpType=60&entry=102&position=29&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_29&from=from_esf_List_screen&index=31,2025-11-28 13:34:39
朝阳,富力城聚集必看南向两居 全屋落地窗 采光视野无遮挡,699,万,80382元/㎡,2室1厅1卫,86.96,南,低层(共32层),2004,富力城(A区),朝阳,双井,朝阳 双井 东三环路55号,南 近地铁 绿化率高 采光较好,https://bj.58.com/ershoufang/4274450188413963x.shtml?auction=220&hpType=60&entry=102&position=30&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_30&from=from_esf_List_screen&index=32,2025-11-28 13:34:39
朝阳,十年不出一套的户型 安贞医院家属楼 来搂一眼,475,万,70267元/㎡,2室1厅2卫,67.6,南,中层(共18层),1996,安贞里(四区),朝阳,安贞,朝阳 安贞 安贞路,南 优势户型 公摊小 房东急售,https://bj.58.com/ershoufang/4313433997417483x.shtml?auction=220&hpType=60&entry=102&position=31&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_31&from=from_esf_List_screen&index=33,2025-11-28 13:34:39
