"province_name"	"city_name"	"city_avg_price"	"city_avg_total_price"	"price_rent_ratio"	"listing_count"	"district_name"	"district_avg_price"	"district_ratio"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"石岐区"	"9723"	"-6.44"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"坦洲镇"	"9463"	"1.41"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"西区"	"9372"	"-1.9"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"港口镇"	"9136"	"-1.27"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"火炬开发区"	"8961"	"-2.57"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"三乡镇"	"8946"	"-3.76"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"南区"	"8501"	"-1.08"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"沙溪镇"	"8402"	"2.55"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"东凤镇"	"8051"	"-3.76"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"东升镇"	"7551"	"2.59"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"横栏镇"	"7233"	"3.79"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"南头镇"	"7029"	"-0.88"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"黄圃镇"	"6509"	"-6.02"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"三角镇"	"6310"	"-2.99"
"广东"	"湛江"	"8814"	"100"	"33"	"510"	"霞山区"	"9845"	"1.27"
"广东"	"湛江"	"8814"	"100"	"33"	"510"	"赤坎区"	"9791"	"-5.44"
"广东"	"湛江"	"8814"	"100"	"33"	"510"	"廉江市"	"6866"	"-1.86"
"广东"	"湛江"	"8814"	"100"	"33"	"510"	"吴川市"	"5759"	"2.2"
"广东"	"肇庆"	"6989"	"88"	"30"	"257"	"端州区"	"8029"	"-1.6"
"广东"	"肇庆"	"6989"	"88"	"30"	"257"	"四会市"	"5027"	"7.27"
